Designator,Footprint,Comment,JLCPCB Part #
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0,C165948
"C2,C8,C7,C1",C_0805_2012Metric,10uF,C15850
Y1,RV3032C7,RV-3032-C7,C5127802
R5,R_0603_1608Metric,1k,C21190
"SW4,SW2,SW1",C2845289_SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4,TC-0522C-1.7-160G,C2845289
U6,SOT-89-3,L78L33ACUTR,C14170
J3,FH5210S05SH99_LCD,FH52-10S-0.5SH_99,C598038
"R2,R12,R8,R3",R_0603_1608Metric,5.1k,C23186
"R1,R10,R7",R_0603_1608Metric,10K,C25804
Q1,SOT-23,AO3401A,C15127
U5,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,SCD40-D-R2,C3659421
U4,C3001660_SOT95P285X140-5N,AP22811,C3001660
U2,SOT-23-5,RT9080,C841192
R9,R_0603_1608Metric,2K,C22975
D1,D_SOD-123,Schottky,C8598
IC2,C22399676_TPS2117-8N,TPS2117DRLR,C22399676
C3,C_0402_1005Metric,1uF,C162161
C4,C_0402_1005Metric,22pF,C5119318
SW3,C5143621_KEY-SMD_TS24ZJ,K2-1806SQ-A2DW-04,C19100323
C5,C_0805_2012Metric,100nF,C49678
R14,R_0603_1608Metric,0Ω,C21189
"R4,R6",R_0402_1005Metric,10k,C4322213
J2,S2BPHSM4TBLFSN,S2B-PH-SM4-TB_LF__SN_,C295747
C9,CP_EIA-3528-15_AVX-H,100uF,C16133
R13,R_0603_1608Metric,0Ω,C21189
R11,R_0603_1608Metric,10k,C25804
U1,SOT-666,USBLC6-2P6,C2827693
Q2,TEMT6000X01,TEMT6000X01,C94098
J5,SM04B-SRSS-TB_LF__SN_,JST connector,C160404
